INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
1987-101F,43501,DEBRIS,COSMOS 1900 DEB,CIS,1987-12-12,TTMTR,,98.94,66.09,740,676,,3.0,0,SMALL,7337,1987,101,F,Y,COSMOS 1900 DEB,1987-101F,43501
1988-033M,43331,DEBRIS,SCOUT G-1 DEB,US,1988-04-26,AFWTR,,108.05,90.36,1268,1005,,3.0,0,SMALL,7337,1988,33,M,Y,SCOUT G-1 DEB,1988-033M,43331
1975-052MT,42658,DEBRIS,DELTA 1 DEB,US,1975-06-12,AFWTR,,114.21,99.8,1757,1082,,3.0,0,SMALL,7337,1975,52,MT,Y,DELTA 1 DEB,1975-052MT,42658
1974-089GR,42624,DEBRIS,THORAD DELTA 1 DEB,US,1974-11-15,AFWTR,,113.05,101.15,1415,1317,,3.0,0,SMALL,7337,1974,89,GR,Y,THORAD DELTA 1 DEB,1974-089GR,42624
1974-089GK,42618,DEBRIS,THORAD DELTA 1 DEB,US,1974-11-15,AFWTR,,116.74,102.08,1570,1498,,3.0,0,SMALL,7337,1974,89,GK,Y,THORAD DELTA 1 DEB,1974-089GK,42618
1973-086HT,42579,DEBRIS,DELTA 1 DEB,US,1973-11-06,AFWTR,,117.42,102.31,1629,1501,,3.0,0,SMALL,7337,1973,86,HT,Y,DELTA 1 DEB,1973-086HT,42579
1970-025SE,42524,DEBRIS,THORAD AGENA D DEB,US,1970-04-08,AFWTR,,105.35,99.78,1036,986,,3.0,0,SMALL,7337,1970,25,SE,Y,THORAD AGENA D DEB,1970-025SE,42524
1970-025RZ,42519,DEBRIS,THORAD AGENA D DEB,US,1970-04-08,AFWTR,,104.41,99.49,982,952,,3.0,0,SMALL,7337,1970,25,RZ,Y,THORAD AGENA D DEB,1970-025RZ,42519
1984-072N,42452,DEBRIS,METEOR 2-11 DEB,CIS,1984-07-05,PKMTR,,103.86,82.53,952,929,,3.0,0,SMALL,7337,1984,72,N,Y,METEOR 2-11 DEB,1984-072N,42452
1966-040BQ,42437,DEBRIS,NIMBUS 2 DEB,US,1966-05-15,AFWTR,,107.69,100.33,1157,1083,,3.0,0,SMALL,7337,1966,40,BQ,Y,NIMBUS 2 DEB,1966-040BQ,42437
1993-016DL,42256,DEBRIS,SL-16 DEB,CIS,1993-03-26,TTMTR,,101.72,70.96,933,747,,3.0,0,SMALL,7337,1993,16,DL,Y,SL-16 DEB,1993-016DL,42256
1993-016DD,42249,DEBRIS,SL-16 DEB,CIS,1993-03-26,TTMTR,,100.93,70.97,882,723,,3.0,0,SMALL,7337,1993,16,DD,Y,SL-16 DEB,1993-016DD,42249
1993-016CV,42241,DEBRIS,SL-16 DEB,CIS,1993-03-26,TTMTR,,101.52,70.96,917,744,,3.0,0,SMALL,7337,1993,16,CV,Y,SL-16 DEB,1993-016CV,42241
1993-016CQ,42236,DEBRIS,SL-16 DEB,CIS,1993-03-26,TTMTR,,101.92,70.98,950,749,,3.0,0,SMALL,7337,1993,16,CQ,Y,SL-16 DEB,1993-016CQ,42236
1981-053SB,42163,DEBRIS,COSMOS 1275 DEB,CIS,1981-06-04,PKMTR,,105.15,83.01,1089,914,,3.0,0,SMALL,7337,1981,53,SB,Y,COSMOS 1275 DEB,1981-053SB,42163
1981-053QZ,42137,DEBRIS,COSMOS 1275 DEB,CIS,1981-06-04,PKMTR,,106.0,82.88,1157,925,,3.0,0,SMALL,7337,1981,53,QZ,Y,COSMOS 1275 DEB,1981-053QZ,42137
1981-053PU,42108,DEBRIS,COSMOS 1275 DEB,CIS,1981-06-04,PKMTR,,101.7,83.18,855,824,,3.0,0,SMALL,7337,1981,53,PU,Y,COSMOS 1275 DEB,1981-053PU,42108
1968-114N,42086,DEBRIS,DELTA 1 DEB,US,1968-12-15,AFWTR,,120.85,102.08,1991,1447,,3.0,0,SMALL,7337,1968,114,N,Y,DELTA 1 DEB,1968-114N,42086
1968-114L,42084,DEBRIS,DELTA 1 DEB,US,1968-12-15,AFWTR,,115.03,101.94,1721,1193,,3.0,0,SMALL,7337,1968,114,L,Y,DELTA 1 DEB,1968-114L,42084
1999-025EXJ,41004,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,105.94,99.23,1237,840,,3.0,0,SMALL,7337,1999,25,EXJ,Y,FENGYUN 1C DEB,1999-025EXJ,41004
1976-077GL,40767,DEBRIS,DELTA 1 DEB,US,1976-07-29,AFWTR,,117.9,102.11,1677,1496,,3.0,0,SMALL,7337,1976,77,GL,Y,DELTA 1 DEB,1976-077GL,40767
1976-077GD,40760,DEBRIS,DELTA 1 DEB,US,1976-07-29,AFWTR,,124.57,103.32,2269,1500,,3.0,0,SMALL,7337,1976,77,GD,Y,DELTA 1 DEB,1976-077GD,40760
1976-077FW,40753,DEBRIS,DELTA 1 DEB,US,1976-07-29,AFWTR,,117.08,101.94,1598,1501,,3.0,0,SMALL,7337,1976,77,FW,Y,DELTA 1 DEB,1976-077FW,40753
1966-040BG,40643,DEBRIS,NIMBUS 2 DEB,US,1966-05-15,AFWTR,,107.69,100.41,1164,1076,,3.0,0,SMALL,7337,1966,40,BG,Y,NIMBUS 2 DEB,1966-040BG,40643
1993-036BVJ,40229,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,97.8,74.02,707,600,,3.0,0,SMALL,7337,1993,36,BVJ,Y,COSMOS 2251 DEB,1993-036BVJ,40229
1988-005AX,38544,DEBRIS,METEOR 2-17 DEB,CIS,1988-01-30,PKMTR,,103.44,82.53,933,909,,3.0,0,SMALL,7348,1988,5,AX,Y,METEOR 2-17 DEB,1988-005AX,38544
1981-053NP,39953,DEBRIS,COSMOS 1275 DEB,CIS,1981-06-04,PKMTR,,106.5,82.98,1193,936,,3.0,0,SMALL,7337,1981,53,NP,Y,COSMOS 1275 DEB,1981-053NP,39953
1981-053NN,39952,DEBRIS,COSMOS 1275 DEB,CIS,1981-06-04,PKMTR,,104.13,83.06,1021,887,,3.0,0,SMALL,7337,1981,53,NN,Y,COSMOS 1275 DEB,1981-053NN,39952
1981-053NA,39940,DEBRIS,COSMOS 1275 DEB,CIS,1981-06-04,PKMTR,,105.31,82.99,1064,954,,3.0,0,SMALL,7337,1981,53,NA,Y,COSMOS 1275 DEB,1981-053NA,39940
1993-016CE,39904,DEBRIS,SL-16 DEB,CIS,1993-03-26,TTMTR,,102.54,70.98,984,774,,3.0,0,SMALL,7337,1993,16,CE,Y,SL-16 DEB,1993-016CE,39904
1993-016AZ,39875,DEBRIS,SL-16 DEB,CIS,1993-03-26,TTMTR,,102.7,70.97,999,774,,3.0,0,SMALL,7337,1993,16,AZ,Y,SL-16 DEB,1993-016AZ,39875
1991-009DW,39838,DEBRIS,SL-8 DEB,CIS,1991-02-12,PKMTR,,119.0,74.12,1822,1451,,3.0,0,SMALL,7337,1991,9,DW,Y,SL-8 DEB,1991-009DW,39838
1987-020FA,39826,DEBRIS,COSMOS 1823 DEB,CIS,1987-02-20,PKMTR,,117.86,73.5,1716,1453,,3.0,0,SMALL,7337,1987,20,FA,Y,COSMOS 1823 DEB,1987-020FA,39826
