INTLDES,NORAD_CAT_ID,OBJECT_NAME,APOGEE,PERIGEE
1997-051WS,36563,IRIDIUM 33 DEB,555,535
1994-074GE,49510,RESURS O1 DEB,567,563
2020-046A,45873,USA 305,553,543
2022-052AX,52643,STARLINK-3963,542,538
1994-074AZ,46513,RESURS O1 DEB,552,548
2020-046B,45874,USA 306,551,542
1999-057PL,31589,CBERS 1 DEB,561,551
2020-046D,45876,USA 308,547,540
2020-025AV,45574,STARLINK-1324,548,546
2020-035Q,45671,STARLINK-1454,548,546
1993-036BQJ,37983,COSMOS 2251 DEB,564,548
2019-074BF,44766,STARLINK-1061,548,546
2020-035BB,45706,STARLINK-1411,548,546
2020-074N,46751,STARLINK-1920,548,546
1994-074DK,47224,RESURS O1 DEB,558,548
2021-005AQ,47387,STARLINK-2108,548,546
2021-018AC,47813,STARLINK-2394,548,546
2021-038AR,48392,STARLINK-2605,548,546
2021-038AU,48395,STARLINK-2574,548,546
2022-049D,52454,STARLINK-3888,541,538
2022-049AJ,52483,STARLINK-3875,541,538
2022-062AJ,52862,STARLINK-4010,541,538
2022-076AM,53021,STARLINK-4203,541,538
2022-084AF,53218,STARLINK-4384,564,562
2020-006AE,45072,STARLINK-1168,548,546
2021-024BE,48029,STARLINK-2299,548,546
1994-074DY,48497,RESURS O1 DEB,559,557
1994-074FE,49226,RESURS O1 DEB,545,538
2022-022J,51860,STARLINK-3559,542,538
2020-057J,46125,STARLINK-1618,548,546
2022-017F,51773,STARLINK-3624,542,538
2022-025AZ,52003,STARLINK-3654,541,538
2021-018AL,47821,STARLINK-2406,548,546
2022-049AS,52491,STARLINK-3908,542,538
2020-001W,44934,STARLINK-1071,548,546
2020-006AT,45085,STARLINK-1179,548,546
2020-025B,45532,STARLINK-1338,548,546
2020-025AQ,45569,STARLINK-1366,549,546
2021-009E,47552,STARLINK-1940,548,546
2021-012AR,47659,STARLINK-2043,548,546
2021-018AP,47824,STARLINK-2409,548,546
2021-024AN,48013,STARLINK-2243,548,546
2021-038P,48366,STARLINK-2631,548,546
2021-044BL,48696,STARLINK-2753,548,546
2021-115AM,49759,STARLINK-3204,541,538
2022-016AU,51756,STARLINK-3513,542,538
2022-025AQ,51994,STARLINK-3647,541,538
2022-029AA,52112,STARLINK-3734,541,538
2022-029BC,52138,STARLINK-3723,541,538
2022-052E,52602,STARLINK-4012,541,538
2022-052R,52613,STARLINK-3921,541,538
2022-052T,52615,STARLINK-4011,542,538
2022-062C,52832,STARLINK-4083,542,538
2022-062AA,52854,STARLINK-4204,542,538
2022-062AK,52863,STARLINK-4270,541,538
2022-077AT,53084,STARLINK-4319,565,561
2022-083K,53141,STARLINK-4103,542,538
2022-084M,53200,STARLINK-4417,564,562
2022-084AC,53215,STARLINK-4335,564,562
2022-099AT,53506,STARLINK-4437,564,562
2022-111B,53774,STARLINK-4719,541,539
2020-006A,45044,STARLINK-1132,548,546
2020-006AR,45083,STARLINK-1190,548,546
2020-073AN,46706,STARLINK-1807,548,546
2020-074AV,46782,STARLINK-1835,548,546
2020-088AK,47155,STARLINK-1869,548,546
2020-088AN,47158,STARLINK-1873,548,546
2021-024AY,48023,STARLINK-2292,548,546
2021-038N,48365,STARLINK-2608,548,546
2022-025E,51960,STARLINK-3691,542,538
2022-041A,52261,STARLINK-3810,542,538
2022-041AK,52294,STARLINK-3777,541,538
2020-057R,46132,STARLINK-1630,548,546
2021-005U,47367,STARLINK-2082,548,546
2021-009P,47561,STARLINK-1960,548,546
2021-018L,47797,STARLINK-2377,548,546
2022-022S,51868,STARLINK-3578,541,538
2022-041F,52266,STARLINK-3739,541,538
2022-041T,52278,STARLINK-3780,541,538
1993-036BFN,37092,COSMOS 2251 DEB,566,543
2020-073E,46674,STARLINK-1718,548,546
2021-038B,48354,STARLINK-2674,548,546
2020-001B,44915,STARLINK-1084,548,546
2020-057AT,46158,STARLINK-1589,548,546
2020-088Q,47136,STARLINK-1846,548,546
2020-088AF,47151,STARLINK-1864,548,546
2021-021BM,47919,STARLINK-2405,548,546
2022-025V,51975,STARLINK-3674,542,538
2022-053AE,52684,STARLINK-4014,542,538
2020-006AD,45071,STARLINK-1167,548,546
2020-025AL,45565,STARLINK-1357,548,546
2020-057K,46126,STARLINK-1619,548,546
2020-057AW,46161,STARLINK-1600,548,546
2020-062A,46325,STARLINK-1734,548,546
2021-005AX,47394,STARLINK-2115,548,546
2021-012AN,47656,STARLINK-2040,548,546
2021-021AF,47889,STARLINK-2349,548,546
2021-021AR,47899,STARLINK-2359,548,546
2021-038U,48371,STARLINK-2589,548,546
2021-038AW,48397,STARLINK-2590,548,546
2021-038BC,48403,STARLINK-2561,548,546
1994-074EN,48511,RESURS O1 DEB,543,534
1994-074FB,49038,RESURS O1 DEB,549,544
2022-016Z,51737,STARLINK-3509,542,538
2022-016AC,51740,STARLINK-3500,542,538
2022-041AN,52297,STARLINK-3758,542,538
2020-001AV,44957,STARLINK-1074,548,546
2020-001AZ,44961,STARLINK-1080,548,546
2020-006P,45057,STARLINK-1159,548,546
2020-012AP,45215,STARLINK-1245,548,546
2020-062BD,46376,STARLINK-1742,548,546
2020-074E,46743,STARLINK-1892,548,546
2020-074R,46754,STARLINK-1923,548,546
2021-009AW,47592,STARLINK-1997,548,546
2021-038Q,48367,STARLINK-2643,548,546
2021-038AZ,48400,STARLINK-2576,548,546
2021-038BJ,48409,STARLINK-2596,548,546
2021-041R,48568,STARLINK-2217,548,546
1994-074FV,49241,RESURS O1 DEB,565,549
2022-029AR,52127,STARLINK-3715,542,538
2022-029BB,52137,STARLINK-3733,542,538
2022-045AP,52368,STARLINK-3834,542,538
2022-083AW,53176,STARLINK-4294,541,538
2022-097J,53396,STARLINK-4524,542,538
2019-074Q,44727,STARLINK-1022,548,546
2020-001K,44923,STARLINK-1106,548,546
2020-001M,44925,STARLINK-1112,548,546
2020-001AA,44938,STARLINK-1082,548,546
2020-001AG,44944,STARLINK-1108,548,546
2020-001AQ,44952,STARLINK-1117,548,546
2020-001BG,44968,STARLINK-1090,548,546
2020-001BL,44972,STARLINK-1107,548,546
2020-001BM,44973,STARLINK-1115,548,546
2020-006D,45047,STARLINK-1131,548,546
2020-006Q,45058,STARLINK-1162,548,546
2020-006R,45059,STARLINK-1165,548,546
2020-006W,45064,STARLINK-1133,548,546
2020-006AY,45090,STARLINK-1176,548,546
2020-012D,45181,STARLINK-1200,548,546
2020-012E,45182,STARLINK-1201,548,546
2020-012AD,45205,STARLINK-1208,548,546
2020-012BA,45226,STARLINK-1217,548,546
2020-012BD,45229,STARLINK-1226,548,546
2020-025AN,45567,STARLINK-1361,548,546
2020-035N,45669,STARLINK-1452,548,546
2020-035V,45676,STARLINK-1460,548,546
2020-035AV,45700,STARLINK-1400,548,546
2020-055K,46036,STARLINK-1560,549,546
2020-057N,46129,STARLINK-1623,548,546
2020-057T,46134,STARLINK-1638,548,546
2020-057AB,46142,STARLINK-1597,548,546
2020-057BJ,46173,STARLINK-1640,548,546
2020-057BK,46174,STARLINK-1641,548,546
2020-062N,46337,STARLINK-1750,548,546
2020-062V,46344,STARLINK-1765,548,546
2020-062AV,46368,STARLINK-1658,548,546
2020-073N,46682,STARLINK-1776,548,546
2020-073AG,46700,STARLINK-1800,548,546
2020-073BH,46725,STARLINK-1828,548,546
2020-074J,46747,STARLINK-1908,548,546
