DEBRIS,ONEWEB,PAYLOAD,ROCKET BODY,STARLINK,UNKNOWN,lower_bound,upper_bound,Bin_Center,Altitude_Bin
5,0,2,0,0,0,200,218,209,"[200,218]"
0,0,1,0,1,0,218,235,226.5,"(218,235]"
2,0,2,0,0,0,235,252,243.5,"(235,252]"
2,0,4,0,0,0,252,270,261,"(252,270]"
1,0,1,0,0,1,270,288,279,"(270,288]"
6,0,11,4,0,0,288,305,296.5,"(288,305]"
4,0,16,1,0,0,305,322,313.5,"(305,322]"
16,0,23,0,6,1,322,340,331,"(322,340]"
11,0,30,2,52,1,340,358,349,"(340,358]"
31,0,36,2,1,1,358,375,366.5,"(358,375]"
32,0,42,4,5,1,375,392,383.5,"(375,392]"
32,0,31,5,7,8,392,410,401,"(392,410]"
43,0,59,4,6,4,410,428,419,"(410,428]"
53,0,95,7,7,5,428,445,436.5,"(428,445]"
70,0,105,15,11,15,445,462,453.5,"(445,462]"
67,0,127,11,20,24,462,480,471,"(462,480]"
56,0,205,10,31,57,480,498,489,"(480,498]"
70,0,362,15,14,46,498,515,506.5,"(498,515]"
70,0,194,19,35,57,515,532,523.5,"(515,532]"
89,0,65,20,2833,49,532,550,541,"(532,550]"
116,0,83,16,187,14,550,568,559,"(550,568]"
145,1,121,14,51,12,568,585,576.5,"(568,585]"
119,29,131,20,0,14,585,602,593.5,"(585,602]"
134,10,66,45,0,6,602,620,611,"(602,620]"
138,1,104,28,0,5,620,638,629,"(620,638]"
153,0,79,12,0,1,638,655,646.5,"(638,655]"
194,6,32,9,0,0,655,672,663.5,"(655,672]"
228,1,48,11,0,1,672,690,681,"(672,690]"
261,0,77,9,0,1,690,708,699,"(690,708]"
330,0,49,13,0,0,708,725,716.5,"(708,725]"
375,0,27,9,0,1,725,742,733.5,"(725,742]"
406,0,50,25,0,1,742,760,751,"(742,760]"
536,0,136,48,0,0,760,778,769,"(760,778]"
576,0,118,17,0,2,778,795,786.5,"(778,795]"
485,0,51,25,0,3,795,812,803.5,"(795,812]"
550,1,40,17,0,0,812,830,821,"(812,830]"
550,7,36,31,0,0,830,848,839,"(830,848]"
539,6,41,17,0,0,848,865,856.5,"(848,865]"
478,9,14,20,0,2,865,882,873.5,"(865,882]"
380,3,20,12,0,0,882,900,891,"(882,900]"
319,0,42,8,0,2,900,918,909,"(900,918]"
314,0,20,7,0,0,918,935,926.5,"(918,935]"
178,2,42,17,0,0,935,952,943.5,"(935,952]"
215,20,22,28,0,0,952,970,961,"(952,970]"
256,7,120,132,0,0,970,988,979,"(970,988]"
164,0,53,21,0,0,988,1000,994,"(988,1e+03]"
149,0,5,8,0,0,1000,1020,1010,"(1e+03,1.02e+03]"
131,0,15,6,0,0,1020,1040,1030,"(1.02e+03,1.04e+03]"
136,0,13,4,0,0,1040,1060,1050,"(1.04e+03,1.06e+03]"
109,0,16,12,0,0,1060,1080,1070,"(1.06e+03,1.08e+03]"
87,1,42,9,0,0,1080,1090,1085,"(1.08e+03,1.09e+03]"
95,3,35,10,0,5,1090,1110,1100,"(1.09e+03,1.11e+03]"
83,0,9,6,0,0,1110,1130,1120,"(1.11e+03,1.13e+03]"
87,10,3,1,0,0,1130,1140,1135,"(1.13e+03,1.14e+03]"
66,0,3,5,0,1,1140,1160,1150,"(1.14e+03,1.16e+03]"
72,0,3,5,0,0,1160,1180,1170,"(1.16e+03,1.18e+03]"
47,98,15,10,0,0,1180,1200,1190,"(1.18e+03,1.2e+03]"
32,196,8,5,0,0,1200,1220,1210,"(1.2e+03,1.22e+03]"
51,91,3,1,0,0,1220,1230,1225,"(1.22e+03,1.23e+03]"
35,0,5,4,0,0,1230,1250,1240,"(1.23e+03,1.25e+03]"
73,0,0,0,0,0,1250,1270,1260,"(1.25e+03,1.27e+03]"
129,0,3,2,0,0,1270,1280,1275,"(1.27e+03,1.28e+03]"
64,0,3,0,0,0,1280,1300,1290,"(1.28e+03,1.3e+03]"
35,0,4,4,0,0,1300,1320,1310,"(1.3e+03,1.32e+03]"
36,0,10,6,0,0,1320,1340,1330,"(1.32e+03,1.34e+03]"
35,0,2,11,0,1,1340,1360,1350,"(1.34e+03,1.36e+03]"
43,0,4,0,0,0,1360,1370,1365,"(1.36e+03,1.37e+03]"
42,0,9,8,0,0,1370,1390,1380,"(1.37e+03,1.39e+03]"
39,0,65,2,0,0,1390,1410,1400,"(1.39e+03,1.41e+03]"
55,0,128,1,0,0,1410,1420,1415,"(1.41e+03,1.42e+03]"
51,0,80,10,0,0,1420,1440,1430,"(1.42e+03,1.44e+03]"
54,0,97,22,0,0,1440,1460,1450,"(1.44e+03,1.46e+03]"
54,0,83,4,0,0,1460,1480,1470,"(1.46e+03,1.48e+03]"
83,0,119,5,0,1,1480,1500,1490,"(1.48e+03,1.5e+03]"
89,0,46,13,0,0,1500,1510,1505,"(1.5e+03,1.51e+03]"
65,0,11,4,0,0,1510,1530,1520,"(1.51e+03,1.53e+03]"
65,0,5,7,0,0,1530,1550,1540,"(1.53e+03,1.55e+03]"
62,0,9,3,0,0,1550,1560,1555,"(1.55e+03,1.56e+03]"
50,0,5,24,0,0,1560,1580,1570,"(1.56e+03,1.58e+03]"
61,0,7,18,0,0,1580,1600,1590,"(1.58e+03,1.6e+03]"
46,0,3,2,0,0,1600,1620,1610,"(1.6e+03,1.62e+03]"
34,0,5,0,0,0,1620,1640,1630,"(1.62e+03,1.64e+03]"
34,0,5,1,0,0,1640,1650,1645,"(1.64e+03,1.65e+03]"
29,0,6,0,0,0,1650,1670,1660,"(1.65e+03,1.67e+03]"
25,0,2,1,0,0,1670,1690,1680,"(1.67e+03,1.69e+03]"
18,0,5,3,0,0,1690,1700,1695,"(1.69e+03,1.7e+03]"
20,0,1,2,0,0,1700,1720,1710,"(1.7e+03,1.72e+03]"
11,0,2,0,0,0,1720,1740,1730,"(1.72e+03,1.74e+03]"
19,0,3,1,0,0,1740,1760,1750,"(1.74e+03,1.76e+03]"
8,0,1,0,0,0,1760,1780,1770,"(1.76e+03,1.78e+03]"
12,0,2,1,0,0,1780,1790,1785,"(1.78e+03,1.79e+03]"
11,0,0,1,0,0,1790,1810,1800,"(1.79e+03,1.81e+03]"
11,0,0,0,0,0,1810,1830,1820,"(1.81e+03,1.83e+03]"
11,0,1,0,0,0,1830,1840,1835,"(1.83e+03,1.84e+03]"
7,0,2,1,0,0,1840,1860,1850,"(1.84e+03,1.86e+03]"
8,0,1,0,0,0,1860,1880,1870,"(1.86e+03,1.88e+03]"
7,0,2,0,0,0,1880,1900,1890,"(1.88e+03,1.9e+03]"
7,0,1,0,0,0,1900,1920,1910,"(1.9e+03,1.92e+03]"
8,0,1,0,0,0,1920,1930,1925,"(1.92e+03,1.93e+03]"
10,0,0,2,0,0,1930,1950,1940,"(1.93e+03,1.95e+03]"
5,0,2,0,0,0,1950,1970,1960,"(1.95e+03,1.97e+03]"
5,0,0,0,0,0,1970,1980,1975,"(1.97e+03,1.98e+03]"
11,0,4,1,0,0,1980,2000,1990,"(1.98e+03,2e+03]"
16,0,1,0,0,0,2000,2020,2010,"(2e+03,2.02e+03]"
