h,objects
209,7
226.5,1
243.5,4
261,6
279,3
296.5,21
313.5,21
331,40
349,44
366.5,70
383.5,79
401,76
419,110
436.5,160
453.5,205
471,229
489,328
506.5,493
523.5,340
541,223
559,229
576.5,292
593.5,284
611,251
629,275
646.5,245
663.5,235
681,288
699,348
716.5,392
733.5,412
751,482
769,720
786.5,713
803.5,564
821,607
839,617
856.5,597
873.5,514
891,412
909,371
926.5,341
943.5,237
961,265
979,508
994,238
1010,162
1030,152
1050,153
1070,137
1085,138
1100,145
1120,98
1135,91
1150,75
1170,80
1190,72
1210,45
1225,55
1240,44
1260,73
1275,134
1290,67
1310,43
1330,52
1350,49
1365,47
1380,59
1400,106
1415,184
1430,141
1450,173
1470,141
1490,208
1505,148
1520,80
1540,77
1555,74
1570,79
1590,86
1610,51
1630,39
1645,40
1660,35
1680,28
1695,26
1710,23
1730,13
1750,23
1770,9
1785,15
1800,12
1820,11
1835,12
1850,10
1870,9
1890,9
1910,8
1925,9
1940,12
1960,7
1975,5
1990,16
2010,17
